,eq,support,num_points,bases
0,x_1*(1 - cos(x_1**2*x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
1,1.182*cos(0.968*(x_1*(x_2 + 0.851) - x_2)*tan(x_1)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
2,-x_2 + (x_2 + 1)*(x_1 - x_2 + 2.597),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,x_1**4*(x_2*x_3 - 1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
4,log(x_1)/(x_1*cos(0.289*x_1)),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
5,(x_2 - tan(x_1**2) + 0.441)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
6,4.279*x_1 + 12.967201*x_2*(x_2 - 0.277700638711469*x_3)**2 - 2.319218,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
7,x_1**2*(x_1 + x_2 - 0.038)**2*cos(x_3)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
8,sin(x_1**4),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
9,2.37013004849457*x_1**1.594*(-0.784313725490196*x_1 + 0.784313725490196*x_3 - 1)**3.552/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
10,2.448*x_1 - 4.658544 + x_2*x_3/x_1,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,x_1**2*(x_1 - log(x_1)**2),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
12,x_1*sin(sin(x_2/x_3**2)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
13,(x_1 + 0.582)/(x_2*(x_1*x_3**2 + 0.212*x_2 + 0.361248)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
14,(tan(x_1) + 0.821)/sin(3.716*x_1 - 6.532728),"{'x_1': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
15,x_1**(-3),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,(x_1 + x_2*(0.507*x_1 - x_2*x_3))**10.630728,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,cos(2.867*tan(x_1**1.012))**3,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
18,x_1**6.086*exp(0.835*x_2)/x_3,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
19,-x_1 + 0.00324055693479566*x_3*(x_1 + 0.613)**2/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
